Organization,Repository,Pull Request Id,Title,Source Branch,Target Branch,Created At,Closed At,Duration (Minutes),State,Author,Merged by,Commits,Changed Files,Changed Line,Code Inspection,Reviewers,Reviews,Labels,Yes_review,Same_Author_Merger
elastic,elasticsearch,40672,Show SSL usage when security is not disabled,ssl-feature-set-trial,master,2019-04-01 13:32:40,2019-04-02 12:51:42,1399,closed,tvernum,tvernum,2,3,153,0,2,2,":Security/Network, >enhancement, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,40673,Update BWC to V7.1 for templated role mappings,bwc-version/39984-template-role-mapping,master,2019-04-01 13:46:11,2019-04-02 12:45:58,1379,closed,tvernum,tvernum,1,3,10,0,1,1,":Security/Authorization, >non-issue, v8.0.0",1,1
elastic,elasticsearch,40674,Add an OpenID Connect authentication realm,feature-oidc-realm,master,2019-04-01 14:19:33,2019-04-04 23:24:42,4865,closed,jkakavas,jkakavas,30,69,7239,0,5,17,":Security/Authentication, >feature, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,40675,[BACKPORT 7.x] Support roles with application privileges against wildcard applications,backport/7.x/40398-Support-roles-with-application,7.x,2019-04-01 15:20:14,2019-04-02 12:48:39,1288,closed,tvernum,tvernum,1,9,340,0,0,0,backport,0,1
elastic,elasticsearch,40676,Allow single digit milliseconds in strict date parsing,2019-04-fix-date-parsing,master,2019-04-01 16:56:02,2019-04-02 17:26:55,1470,closed,spinscale,spinscale,1,2,85,0,1,1,":Core/Infra/Core, >bug, v6.7.2, v7.0.0, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,40681,Use `wait_for_active_shards` in put follow api call when upgrading from 6.7.0 or higher,fix_ccr_rolling_upgrade_tests,6.7,2019-04-01 20:10:48,2019-04-02 18:51:12,1360,closed,martijnvg,martijnvg,4,1,6,0,1,3,":Distributed/CCR, >test, v6.7.1",1,1
elastic,elasticsearch,40683,"[ML] fix test, should account for async nature of audit (#40637)",fix/ml-data-frame-test-40594-7x,7.x,2019-04-01 21:07:36,2019-04-02 00:00:33,172,closed,benwtrent,benwtrent,1,1,34,0,1,1,":ml/Data Frame, >test, backport, v7.2.0",1,1
elastic,elasticsearch,40685,[DOCS] Add 'time value' links to several monitor settings (#40633)(7.x),7.x,7.x,2019-04-01 21:31:36,2019-04-01 21:47:13,15,closed,jrodewig,jrodewig,1,1,14,0,1,1,":Core/Features/Monitoring, >docs, backport",1,1
elastic,elasticsearch,40686,Mutes test ScriptDocValuesGeoPointsTests.testMissingValues,test/mute-40684,master,2019-04-01 21:33:07,2019-04-01 21:49:49,16,closed,benwtrent,benwtrent,1,1,1,0,1,1,":Core/Infra/Scripting, >test-mute, v8.0.0",1,1
elastic,elasticsearch,40687,[DOCS] Add 'time value' links to several monitor settings (#40633)(7.0),7,7,2019-04-01 21:33:10,2019-04-01 21:47:27,14,closed,jrodewig,jrodewig,1,1,14,0,1,1,":Core/Features/Monitoring, >docs, backport",1,1
elastic,elasticsearch,40688,[DOCS] Remind users to include @ symbol when applying license file,include-@-in-license-command,master,2019-04-01 23:05:48,2019-04-05 00:37:09,4411,closed,jrodewig,jrodewig,2,1,6,0,3,3,":Security/License, >docs, v7.0.0, v7.2.0, v8.0.0",1,1
